TransactionID,AccountNumber,TransactionDate,TransactionType,Amount,Description
900845,013-970568,31/03/2025,Withdrawal,44030.01,Incoming Transfer
917013,001-836331,07/20/2025,Deposit,23863.74,ATM Deposit - Cash
915545,005-533362,16-04-2025,Deposit,19981 EGP,POS Payment - Online Store
904539,002-572175,05/08/2025,Withdrawal,660.66,Transfer to Account
911056,002-476573,03 Nov 2025,Withdrawal,"25,206.38",Transfer to Account
903294,012-444328,2025-08-05,Deposit,57983 EGP,POS Purchase - Retail Store
914115,010-797618,2025/07/26,Withdrawal,47743.93,Transfer to Savings
913881,013-422979,07/28/2025,Deposit,10181.58,Service Fee
903499,002-200491,09 Aug 2025,Withdrawal,"40,550.34",Loan Installment Payment
910351,016-928082,2025-07-11,Withdrawal,58086 EGP,POS Purchase - Supermarket
902457,014-230432,2025-06-05,Withdrawal,42797.65,POS Purchase - Supermarket
917984,016-709948,07/02/2025,Deposit,26832.22,POS Payment - Online Store
906717,005-906326,17/09/2025,Deposit,30382.20,POS Purchase - Supermarket
909688,014-556397,04/07/2025,Deposit,34494.05,ATM Deposit - Cash
905438,011-288000,16/11/2025,Withdrawal,17435.38,Loan Installment Payment
917799,005-941624,13/08/2025,Deposit,11422.49,Account Maintenance Fee
908448,012-189225,12/02/2025,Deposit,6053 EGP,ATM Cash Withdrawal
916884,010-283699,13/10/2025,Deposit,43983 EGP,Account Maintenance Fee
908555,008-252254,06/20/2025,Withdrawal,"34,190.62",POS Purchase - Retail Store
907560,008-620660,2025-10-06,Withdrawal,28221 EGP,Transfer - Salary Credit
901224,011-895229,16-07-2025,Deposit,55900.96,ATM Cash Withdrawal
910919,001-181340,10/13/2025,Deposit,14643.65,ATM Balance Transfer
903391,005-879909,03/12/2025,Deposit,"22,725.21",POS Payment - Online Store
910731,002-893767,2025/09/17,Deposit,55005 EGP,ATM Withdrawal - Branch Terminal
912625,001-822181,18/02/2025,Deposit,"21,169.51",POS Purchase - Retail Store
911096,014-484327,2025/09/08,Deposit,"36,865.04",POS Purchase - Retail Store
916664,001-154646,2025-11-04,Withdrawal,2235.47,Incoming Transfer
905130,006-998524,27-08-2025,Deposit,10716.74,Transfer to Account
909899,008-947364,2025/07/31,Deposit,"EGP 19,466.14",ATM Cash Withdrawal
916583,008-277605,09/29/2025,Deposit,18236 EGP,ATM Cash Withdrawal
904461,005-690620,05/13/2025,Deposit,"59,053.69",ATM Deposit - Cash
914531,004-875766,09/12/2025,Withdrawal,"36,378.10",Loan Installment Payment
909795,014-519644,2025-07-06,Deposit,"57,854.81",Cheque Deposit
915798,009-933381,20/08/2025,Deposit,11380 EGP,ATM Cash Withdrawal
916852,006-563926,16-08-2025,Withdrawal,"6,130.80",ATM Cash Withdrawal
916670,010-547397,2025/08/26,Withdrawal,3472.95,
917374,016-814696,30/10/2025,Deposit,"57,914.82",
906849,004-374125,2025-08-18,Deposit,43385 EGP,Transfer to Account
903454,005-650422,06/07/2025,Withdrawal,"EGP 47,995.68",
906867,007-415059,11/05/2025,Deposit,1947.92,Loan Installment Payment
900957,002-954754,2025/09/11,Deposit,57205 EGP,POS Purchase - Retail Store
908848,002-145804,17-10-2025,Withdrawal,10158.78,Cash Deposit - Branch Counter
914105,013-366904,04/18/2025,Withdrawal,19013 EGP,Transfer to Account
906083,006-813847,04 Jun 2025,Withdrawal,"3,918.99",POS Purchase - Supermarket
909018,011-947108,10 Apr 2025,Withdrawal,"50,640.11",ATM Balance Transfer
901444,009-433951,12/03/2025,Deposit,"31,559.75",ATM Withdrawal - Branch Terminal
902234,002-211490,2025-09-18,Withdrawal,37801.38,ATM Cash Withdrawal
901375,009-120447,10/03/2025,Deposit,20807.87,Loan Installment Payment
909027,003-693504,2025/10/22,Deposit,"EGP 55,279.15",POS Purchase - Retail Store
909761,002-963491,08 Jul 2025,Deposit,19409.48,Cash Deposit - Branch Counter
907394,008-988663,06/26/2025,Withdrawal,34296.95,POS Payment - Online Store
901459,007-991045,2025-06-24,Deposit,"4,694.54",
909547,010-219093,07/27/2025,Deposit,"EGP 48,507.67",Service Fee
915678,006-817338,09/21/2025,Deposit,"53,491.83",Transfer to Account
910645,003-135832,17 Aug 2025,Withdrawal,5026.24,ATM Balance Transfer
901333,001-199604,10 Sep 2025,Deposit,44416.46,Transfer to Account
912590,013-294411,11-03-2025,Withdrawal,55998 EGP,ATM Withdrawal - Branch Terminal
900063,002-509113,17 Sep 2025,Withdrawal,"37,242.63",POS Purchase - Supermarket
909591,008-314890,2025/11/28,Deposit,50428 EGP,Transfer to Savings
911562,007-927599,2025/07/26,Withdrawal,49965 EGP,Account Maintenance Fee
909375,010-480418,25/09/2025,Withdrawal,"48,737.21",Cash Deposit - Branch Counter
902803,016-471083,14 Jul 2025,Deposit,"3,992.12",
913825,001-500956,02/08/2025,Withdrawal,471 EGP,POS Purchase - Supermarket
